Array computation done and passed to neighbour.py line 631
Training...
Epoch 00000 | Loss 2.7517 | Accuracy 0.4753 | Time : 2.5693342685699463
 Total Training Time 2.5693 seconds
Testing...
Test Accuracy 0.4211
cuda, sapmling, time:, 0.000591
cuda, sapmling, time:, 0.001827
cuda, sapmling, time:, 0.000098
cuda, sapmling, time:, 0.000530
cuda, sapmling, time:, 0.001125
cuda, sapmling, time:, 0.000701
cuda, sapmling, time:, 0.000783
cuda, sapmling, time:, 0.001991
cuda, sapmling, time:, 0.000166
cuda, sapmling, time:, 0.000313
cuda, sapmling, time:, 0.001884
cuda, sapmling, time:, 0.000048
cuda, sapmling, time:, 0.000385
cuda, sapmling, time:, 0.001609
cuda, sapmling, time:, 0.000043
cuda, sapmling, time:, 0.000311
cuda, sapmling, time:, 0.000734
cuda, sapmling, time:, 0.000047
cuda, sapmling, time:, 0.000582
cuda, sapmling, time:, 0.001625
cuda, sapmling, time:, 0.000051
cuda, sapmling, time:, 0.000575
cuda, sapmling, time:, 0.000749
cuda, sapmling, time:, 0.000055
cuda, sapmling, time:, 0.000346
cuda, sapmling, time:, 0.001589
cuda, sapmling, time:, 0.000050
cuda, sapmling, time:, 0.001487
cuda, sapmling, time:, 0.001686
cuda, sapmling, time:, 0.000068
cuda, sapmling, time:, 0.000457
cuda, sapmling, time:, 0.005061
cuda, sapmling, time:, 0.000048
cuda, sapmling, time:, 0.000241
cuda, sapmling, time:, 0.005064
cuda, sapmling, time:, 0.000054
cuda, sapmling, time:, 0.000284
cuda, sapmling, time:, 0.000656
cuda, sapmling, time:, 0.000051
cuda, sapmling, time:, 0.001575
cuda, sapmling, time:, 0.001653
cuda, sapmling, time:, 0.000068
cuda, sapmling, time:, 0.000361
cuda, sapmling, time:, 0.001669
cuda, sapmling, time:, 0.000058
cuda, sapmling, time:, 0.000571
cuda, sapmling, time:, 0.000758
cuda, sapmling, time:, 0.000448
cuda, sapmling, time:, 0.001487
cuda, sapmling, time:, 0.001710
cuda, sapmling, time:, 0.000067
cuda, sapmling, time:, 0.000564
cuda, sapmling, time:, 0.000740
cuda, sapmling, time:, 0.000054
cuda, sapmling, time:, 0.000225
cuda, sapmling, time:, 0.005053
cuda, sapmling, time:, 0.000050
cuda, sapmling, time:, 0.001513
cuda, sapmling, time:, 0.001634
cuda, sapmling, time:, 0.000122
cuda, sapmling, time:, 0.000193
cuda, sapmling, time:, 0.000754
cuda, sapmling, time:, 0.000092
cuda, sapmling, time:, 0.000608
cuda, sapmling, time:, 0.000811
cuda, sapmling, time:, 0.000101
cuda, sapmling, time:, 0.000260
cuda, sapmling, time:, 0.000459
cuda, sapmling, time:, 0.000056
cuda, sapmling, time:, 0.000300
cuda, sapmling, time:, 0.000916
cuda, sapmling, time:, 0.000118
cuda, sapmling, time:, 0.000656
cuda, sapmling, time:, 0.000822
cuda, sapmling, time:, 0.000047
cuda, sapmling, time:, 0.000283
cuda, sapmling, time:, 0.001674
cuda, sapmling, time:, 0.000042
cuda, sapmling, time:, 0.000382
cuda, sapmling, time:, 0.000703
cuda, sapmling, time:, 0.000863
cuda, sapmling, time:, 0.000923
