cuda, sapmling, time:, 0.012119
cuda, sapmling, time:, 0.024637
cuda, sapmling, time:, 0.001166
cuda, sapmling, time:, 0.011967
cuda, sapmling, time:, 0.024884
cuda, sapmling, time:, 0.002403
cuda, sapmling, time:, 0.012711
cuda, sapmling, time:, 0.024420
cuda, sapmling, time:, 0.001129
cuda, sapmling, time:, 0.007632
cuda, sapmling, time:, 0.024951
cuda, sapmling, time:, 0.002020
cuda, sapmling, time:, 0.011972
cuda, sapmling, time:, 0.023842
cuda, sapmling, time:, 0.002396
cuda, sapmling, time:, 0.012680
cuda, sapmling, time:, 0.024297
cuda, sapmling, time:, 0.001480
cuda, sapmling, time:, 0.007947
cuda, sapmling, time:, 0.026216
cuda, sapmling, time:, 0.003076
cuda, sapmling, time:, 0.011983
cuda, sapmling, time:, 0.024580
cuda, sapmling, time:, 0.001227
cuda, sapmling, time:, 0.007198
cuda, sapmling, time:, 0.026768
cuda, sapmling, time:, 0.001335
cuda, sapmling, time:, 0.011236
cuda, sapmling, time:, 0.024113
cuda, sapmling, time:, 0.001447
cuda, sapmling, time:, 0.012458
cuda, sapmling, time:, 0.024074
cuda, sapmling, time:, 0.001595
cuda, sapmling, time:, 0.008321
cuda, sapmling, time:, 0.026177
cuda, sapmling, time:, 0.001234
cuda, sapmling, time:, 0.006588
cuda, sapmling, time:, 0.025623
cuda, sapmling, time:, 0.001713
cuda, sapmling, time:, 0.011343
cuda, sapmling, time:, 0.023834
cuda, sapmling, time:, 0.003350
cuda, sapmling, time:, 0.007792
cuda, sapmling, time:, 0.024474
cuda, sapmling, time:, 0.001170
cuda, sapmling, time:, 0.007460
cuda, sapmling, time:, 0.025788
cuda, sapmling, time:, 0.001293
cuda, sapmling, time:, 0.007426
cuda, sapmling, time:, 0.025766
cuda, sapmling, time:, 0.001777
cuda, sapmling, time:, 0.007961
cuda, sapmling, time:, 0.026792
cuda, sapmling, time:, 0.003826
cuda, sapmling, time:, 0.006959
cuda, sapmling, time:, 0.025229
cuda, sapmling, time:, 0.001831
cuda, sapmling, time:, 0.007558
cuda, sapmling, time:, 0.024650
cuda, sapmling, time:, 0.001275
cuda, sapmling, time:, 0.007622
cuda, sapmling, time:, 0.025568
cuda, sapmling, time:, 0.001767
cuda, sapmling, time:, 0.008851
cuda, sapmling, time:, 0.025091
cuda, sapmling, time:, 0.001006
cuda, sapmling, time:, 0.007687
cuda, sapmling, time:, 0.026087
cuda, sapmling, time:, 0.001582
cuda, sapmling, time:, 0.007375
cuda, sapmling, time:, 0.025984
cuda, sapmling, time:, 0.000968
cuda, sapmling, time:, 0.011617
cuda, sapmling, time:, 0.024463
cuda, sapmling, time:, 0.001461
cuda, sapmling, time:, 0.011128
cuda, sapmling, time:, 0.024362
cuda, sapmling, time:, 0.002098
cuda, sapmling, time:, 0.007464
cuda, sapmling, time:, 0.024634
cuda, sapmling, time:, 0.001208
cuda, sapmling, time:, 0.007472
cuda, sapmling, time:, 0.025360
cuda, sapmling, time:, 0.004016
cuda, sapmling, time:, 0.011128
cuda, sapmling, time:, 0.025592
cuda, sapmling, time:, 0.000943
cuda, sapmling, time:, 0.008221
cuda, sapmling, time:, 0.024936
cuda, sapmling, time:, 0.001539
cuda, sapmling, time:, 0.011987
cuda, sapmling, time:, 0.024229
cuda, sapmling, time:, 0.002117
cuda, sapmling, time:, 0.006935
cuda, sapmling, time:, 0.024783
cuda, sapmling, time:, 0.001135
cuda, sapmling, time:, 0.012850
cuda, sapmling, time:, 0.024495
cuda, sapmling, time:, 0.003547
cuda, sapmling, time:, 0.011448
cuda, sapmling, time:, 0.024840
cuda, sapmling, time:, 0.008740
cuda, sapmling, time:, 0.010741
cuda, sapmling, time:, 0.023680
cuda, sapmling, time:, 0.001060
cuda, sapmling, time:, 0.011938
cuda, sapmling, time:, 0.024430
cuda, sapmling, time:, 0.001193
cuda, sapmling, time:, 0.011550
cuda, sapmling, time:, 0.024347
cuda, sapmling, time:, 0.001985
cuda, sapmling, time:, 0.012162
cuda, sapmling, time:, 0.024422
cuda, sapmling, time:, 0.001881
cuda, sapmling, time:, 0.007338
cuda, sapmling, time:, 0.024890
cuda, sapmling, time:, 0.002091
cuda, sapmling, time:, 0.011939
cuda, sapmling, time:, 0.025512
cuda, sapmling, time:, 0.005111
cuda, sapmling, time:, 0.011529
cuda, sapmling, time:, 0.024345
cuda, sapmling, time:, 0.002595
cuda, sapmling, time:, 0.007297
cuda, sapmling, time:, 0.024949
cuda, sapmling, time:, 0.001270
cuda, sapmling, time:, 0.008466
cuda, sapmling, time:, 0.026491
cuda, sapmling, time:, 0.002463
cuda, sapmling, time:, 0.011725
cuda, sapmling, time:, 0.024597
cuda, sapmling, time:, 0.001394
cuda, sapmling, time:, 0.007725
cuda, sapmling, time:, 0.025352
cuda, sapmling, time:, 0.001518
cuda, sapmling, time:, 0.007017
cuda, sapmling, time:, 0.026691
cuda, sapmling, time:, 0.002788
cuda, sapmling, time:, 0.007650
cuda, sapmling, time:, 0.025175
cuda, sapmling, time:, 0.001075
cuda, sapmling, time:, 0.012087
cuda, sapmling, time:, 0.024441
cuda, sapmling, time:, 0.004549
cuda, sapmling, time:, 0.007830
cuda, sapmling, time:, 0.025787
cuda, sapmling, time:, 0.001640
cuda, sapmling, time:, 0.007278
cuda, sapmling, time:, 0.025901
cuda, sapmling, time:, 0.001403
cuda, sapmling, time:, 0.011926
cuda, sapmling, time:, 0.024862
cuda, sapmling, time:, 0.001542
cuda, sapmling, time:, 0.011370
cuda, sapmling, time:, 0.024092
cuda, sapmling, time:, 0.001450
cuda, sapmling, time:, 0.007871
cuda, sapmling, time:, 0.025990
cuda, sapmling, time:, 0.002711
cuda, sapmling, time:, 0.011759
cuda, sapmling, time:, 0.023841
cuda, sapmling, time:, 0.002092
cuda, sapmling, time:, 0.009023
cuda, sapmling, time:, 0.026386
cuda, sapmling, time:, 0.001910
cuda, sapmling, time:, 0.012211
cuda, sapmling, time:, 0.024119
cuda, sapmling, time:, 0.001175
cuda, sapmling, time:, 0.006127
cuda, sapmling, time:, 0.027619
cuda, sapmling, time:, 0.001006
cuda, sapmling, time:, 0.011806
cuda, sapmling, time:, 0.024343
cuda, sapmling, time:, 0.002864
cuda, sapmling, time:, 0.007756
cuda, sapmling, time:, 0.024943
cuda, sapmling, time:, 0.001611
cuda, sapmling, time:, 0.007142
cuda, sapmling, time:, 0.024668
cuda, sapmling, time:, 0.001219
cuda, sapmling, time:, 0.006913
cuda, sapmling, time:, 0.025087
cuda, sapmling, time:, 0.001508
cuda, sapmling, time:, 0.007332
cuda, sapmling, time:, 0.025388
